president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,4/12/20,43.737121,47.754248,39.719995,50.141861,55.254046,45.029675,4/12/20 20:19
Donald Trump,All polls,4/12/20,44.412358,48.387992,40.436724,50.719189,55.399216,46.039162,4/12/20 20:18
Donald Trump,Voters,4/11/20,45.002785,48.904752,41.100818,51.426613,55.499579,47.353647,4/11/20 19:43
Donald Trump,Adults,4/11/20,43.753236,47.756355,39.750117,50.112176,55.208027,45.016326,4/11/20 19:42
Donald Trump,All polls,4/11/20,44.417322,48.395946,40.438698,50.706717,55.396928,46.016506,4/11/20 19:41
Donald Trump,Voters,4/10/20,44.938443,48.852511,41.024376,51.52164,55.60789,47.435391,4/10/20 18:25
Donald Trump,Adults,4/10/20,43.746099,47.756709,39.735489,50.114895,55.206911,45.022879,4/10/20 18:24
Donald Trump,All polls,4/10/20,44.367344,48.35694,40.377749,50.764068,55.468794,46.059343,4/10/20 18:23
Donald Trump,Adults,4/9/20,43.731399,47.766602,39.696197,49.90412,55.002512,44.805728,4/9/20 18:28
Donald Trump,Voters,4/9/20,45.358204,49.238426,41.477982,51.098136,55.167251,47.02902,4/9/20 18:29
Donald Trump,All polls,4/9/20,44.605735,48.59662,40.614849,50.284832,54.933405,45.636259,4/9/20 18:27
Donald Trump,Voters,4/8/20,45.186756,49.049315,41.324197,51.312115,55.436926,47.187303,4/8/20 15:40
Donald Trump,Adults,4/8/20,43.928068,47.948136,39.908,49.688209,54.824344,44.552073,4/8/20 15:39
Donald Trump,All polls,4/8/20,44.631565,48.566108,40.697021,49.986358,54.752033,45.220683,4/8/20 15:38
Donald Trump,Adults,4/7/20,45.098854,49.389288,40.808419,49.136128,54.307894,43.964362,4/7/20 23:17
Donald Trump,Voters,4/7/20,45.51366,49.673894,41.353425,51.073382,55.562241,46.584523,4/7/20 23:18
Donald Trump,All polls,4/7/20,45.350914,49.509266,41.192563,49.685118,54.515318,44.854919,4/7/20 23:16
Donald Trump,Adults,4/6/20,45.098854,49.38931,40.808397,49.136128,54.307914,43.964342,4/6/20 18:22
Donald Trump,Voters,4/6/20,45.482457,49.711115,41.253799,51.026615,55.568876,46.484354,4/6/20 18:23
Donald Trump,All polls,4/6/20,45.292246,49.480579,41.103914,49.643333,54.501772,44.784894,4/6/20 18:21
Donald Trump,Voters,4/5/20,45.621096,49.775832,41.466361,50.911909,55.412681,46.411136,4/5/20 13:12
Donald Trump,Adults,4/5/20,45.945921,50.549317,41.342524,49.325406,54.602875,44.047937,4/5/20 13:11
Donald Trump,All polls,4/5/20,45.788477,50.059312,41.517642,50.027034,54.878032,45.176036,4/5/20 13:10
Donald Trump,Adults,4/4/20,46.012938,50.582702,41.443175,49.088854,54.335945,43.841762,4/4/20 7:31
Donald Trump,Voters,4/4/20,45.701958,49.852912,41.551003,50.797167,55.278331,46.316003,4/4/20 7:32
Donald Trump,All polls,4/4/20,45.784796,50.034617,41.534976,49.910053,54.749417,45.070689,4/4/20 7:30
Donald Trump,Voters,4/3/20,45.777346,49.910392,41.644299,50.77266,55.230042,46.315279,4/3/20 9:44
Donald Trump,Adults,4/3/20,46.012938,50.58268,41.443196,49.088854,54.335937,43.84177,4/3/20 9:43
Donald Trump,All polls,4/3/20,45.845898,50.087236,41.60456,49.882515,54.689812,45.075217,4/3/20 9:42
Donald Trump,Adults,4/2/20,45.585115,50.252563,40.917667,49.406728,54.871089,43.942367,4/2/20 14:48
Donald Trump,Voters,4/2/20,46.014258,50.156179,41.872337,50.636093,55.112029,46.160158,4/2/20 14:49
Donald Trump,All polls,4/2/20,45.673972,49.990927,41.357017,50.038567,54.969087,45.108047,4/2/20 14:47
Donald Trump,Adults,4/1/20,45.816386,50.4783,41.154472,49.103169,54.571473,43.634865,4/1/20 16:51
Donald Trump,Voters,4/1/20,46.334424,50.522687,42.14616,50.251812,54.789592,45.714032,4/1/20 16:52
Donald Trump,All polls,4/1/20,45.816466,50.180651,41.45228,49.707552,54.691272,44.723832,4/1/20 16:50
Donald Trump,Voters,3/31/20,45.908538,50.275716,41.54136,50.54636,55.23814,45.85458,3/31/20 22:53
Donald Trump,Adults,3/31/20,45.555048,50.577564,40.532531,49.565887,54.798727,44.333047,3/31/20 22:52
Donald Trump,All polls,3/31/20,45.418363,49.933592,40.903135,50.204039,54.912943,45.495135,3/31/20 22:51
Donald Trump,Voters,3/30/20,45.855167,50.266664,41.443671,50.533752,55.315992,45.751513,3/30/20 14:02
Donald Trump,Adults,3/30/20,45.668993,50.721005,40.616981,49.322072,54.576818,44.067325,3/30/20 14:01
Donald Trump,All polls,3/30/20,45.338869,49.864528,40.813209,50.191026,54.960754,45.421299,3/30/20 14:00
Donald Trump,Voters,3/29/20,46.196054,50.684516,41.707591,50.245697,55.077408,45.413986,3/30/20 0:11
Donald Trump,Adults,3/29/20,46.006565,51.060351,40.952779,49.016739,54.330473,43.703004,3/30/20 0:08
Donald Trump,All polls,3/29/20,45.783189,50.366222,41.200156,49.789608,54.606152,44.973065,3/30/20 0:06
Donald Trump,Adults,3/28/20,46.098665,51.153818,41.043511,48.888298,54.21087,43.565726,3/28/20 7:16
Donald Trump,Voters,3/28/20,46.260866,50.748122,41.773611,50.176574,55.00385,45.349297,3/28/20 7:17
Donald Trump,All polls,3/28/20,45.815577,50.398795,41.232359,49.734405,54.556348,44.912462,3/28/20 7:15
Donald Trump,Adults,3/27/20,46.098665,51.153811,41.043518,48.888298,54.210868,43.565729,3/27/20 21:30
Donald Trump,Voters,3/27/20,46.242087,50.738376,41.745798,50.181704,55.018649,45.344759,3/27/20 21:31
Donald Trump,All polls,3/27/20,45.806991,50.397678,41.216304,49.727159,54.555748,44.89857,3/27/20 21:29
Donald Trump,Voters,3/26/20,45.500942,50.035568,40.966317,50.890813,55.758214,46.023412,3/26/20 18:44
Donald Trump,Adults,3/26/20,45.272299,50.481697,40.062901,50.288112,55.570929,45.005295,3/26/20 18:43
Donald Trump,All polls,3/26/20,45.290092,49.975473,40.60471,50.47277,55.299593,45.645947,3/26/20 18:42
Donald Trump,All polls,3/25/20,44.629069,49.712472,39.545667,50.671925,55.91945,45.4244,3/25/20 17:41
Donald Trump,Adults,3/25/20,44.688531,50.363092,39.013969,51.064189,56.746184,45.382194,3/25/20 17:42
Donald Trump,Voters,3/25/20,45.042247,49.768343,40.31615,50.735027,55.910344,45.559709,3/25/20 17:43
Donald Trump,Voters,3/24/20,44.969927,49.873486,40.066369,50.739752,56.131087,45.348417,3/24/20 22:55
Donald Trump,Adults,3/24/20,44.613072,50.303993,38.92215,51.045832,56.738695,45.352968,3/24/20 22:54
Donald Trump,All polls,3/24/20,44.68436,49.824436,39.544283,50.480143,55.763482,45.196804,3/24/20 22:53
Donald Trump,Voters,3/23/20,44.286483,49.178508,39.394458,51.395058,57.006607,45.78351,3/23/20 15:44
Donald Trump,Adults,3/23/20,43.500766,49.059832,37.9417,52.271777,57.972093,46.571462,3/23/20 15:43
Donald Trump,All polls,3/23/20,43.685175,48.777431,38.592919,51.563184,56.96874,46.157628,3/23/20 15:42
Donald Trump,All polls,3/22/20,43.182827,48.450997,37.914658,52.073332,57.506501,46.640164,3/23/20 9:35
Donald Trump,Voters,3/22/20,43.338067,48.189093,38.487041,52.074268,57.671134,46.477402,3/23/20 9:43
Donald Trump,Adults,3/22/20,42.521573,48.359328,36.683819,53.357601,59.04471,47.670492,3/23/20 9:39
